SYNTAX	DESCRIPTION	CLASS	TYPE	GROUP	CATEGORY	KEYWORDS	TIO	DOCS
M∧N	Lowest Common Multiple of M and N	Primitive	Dyadic Function		Mathematical	least smallest lcm() denominator lcd() caret hat circumflex ^	https://tio.run/##SyzI0U2pTMzJT////1Hf1EdtExQMTRUMFYwUzBUedSxXMAZxTBQM/v8HAA	https://docs.dyalog.com/20.0/language-reference-guide/primitive-functions/lowest-common-multiple-and/
A∧B	Logical AND	Primitive	Dyadic Function		Boolean/Logical	gate conjunction caret hat circumflex Kpq ^ • ⋅ ∙ &&	https://tio.run/##SyzI0U2pTMzJT////1Hf1EdtExQMFAzB@FHHciANYhn@/w8A	https://docs.dyalog.com/20.0/language-reference-guide/primitive-functions/lowest-common-multiple-and/
⌈N	Rounding up to integer	Primitive	Monadic Function		Mathematical	upstile roundup ceiling seiling up() ceil()	https://tio.run/##SyzI0U2pTMzJT////1Hf1EdtExQe9XQoGOuZKBxaDyKNFQz@/wcA	https://docs.dyalog.com/20.0/language-reference-guide/primitive-functions/ceiling/
M⌈N	Maximum of M and N	Primitive	Dyadic Function		Mathematical	most upstile greater larger max() bigger	https://tio.run/##SyzI0U2pTMzJT////1Hf1EdtExQM9QwVDq03UnjU06FgAWYb65n8/w8A	https://docs.dyalog.com/20.0/language-reference-guide/primitive-functions/maximum/
⌊N	Rounding down to integer	Primitive	Monadic Function		Mathematical	downstile rounddown down() floor()	https://tio.run/##SyzI0U2pTMzJT////1Hf1EdtExQe9XQpGOuZKBxaDyKNFQz@/wcA	https://docs.dyalog.com/20.0/language-reference-guide/primitive-functions/floor/
M⌊N	Minimum of M and N	Primitive	Dyadic Function		Mathematical	least downstile lesser smaller min()	https://tio.run/##SyzI0U2pTMzJT////1Hf1EdtExQM9QwVDq03UnjU06VgAWYb65n8/w8A	https://docs.dyalog.com/20.0/language-reference-guide/primitive-functions/minimum/
⌽Y	Reverse last axis of Y	Primitive	Monadic Function		Structural	circlestile reversing dimension	https://tio.run/##SyzI0U2pTMzJT////1Hf1EdtExQe9exVUC8pSswtVv//HwA	https://docs.dyalog.com/20.0/language-reference-guide/primitive-functions/reverse/
⌽Ym	Reflect vertically	Primitive	Monadic Function		Structural	mirroring reflecting reflection right-left rightleft leftright left-right	https://tio.run/##SyzI0U2pTMzJT///PzexROFR2wQFYwWTR71bHvVuNjTietQ3FST0qGevAlD6/38A	https://docs.dyalog.com/20.0/language-reference-guide/primitive-functions/rotate/
I⌽Y	Rotate vectors along last axis of Y	Primitive	Dyadic Function		Structural	circlestile rotating shifting cyclically dimension lists	https://tio.run/##SyzI0U2pTMzJT////1Hf1EdtExSMFR717FVQ90gsCS5JzEtR54KKH1pvBJYxVDACqjFRMFUw@/8fAA	https://docs.dyalog.com/20.0/language-reference-guide/primitive-functions/rotate/
⊖Y	Reverse leading axis of Y	Primitive	Monadic Function		Structural	circlebar rowel upsetting flipping upending upsidedown reversing ⌽[1] dimension start beginning	https://tio.run/##SyzI0U2pTMzJT///PzexROFR2wQFIwVjBZNHvVse9W42MuF61DcVJPioaxpQ/v9/AA	https://docs.dyalog.com/20.0/language-reference-guide/primitive-functions/reverse-first/
⊖Ym	Reflect horizontally	Primitive	Monadic Function		Structural	mirroring reflecting reflection up-down updown down-up downup	https://tio.run/##SyzI0U2pTMzJT///PzexROFR2wQFYwWTR71bHvVuNjTietQ3FST0qGsaUPb/fwA	https://docs.dyalog.com/20.0/language-reference-guide/primitive-functions/rotate-first/
I⊖Y	Rotate vectors along leading axis of Y	Primitive	Dyadic Function		Structural	circlebar rotating cyclically dimension lists start beginning	https://tio.run/##SyzI0U2pTMzJT///PzexROFR2wQFYwWTR71bHvVuNjTietQ3FSRkoGCoYKRwaL2hwqOuaQpAhf//AwA	https://docs.dyalog.com/20.0/language-reference-guide/primitive-functions/rotate-first/
