SYNTAX	DESCRIPTION	CLASS	TYPE	GROUP	CATEGORY	KEYWORDS	TIO	DOCS
0∘≥N	Non-positive?	Tacit	Monadic Function		Mathematical	testif nonpositive?	https://tio.run/##SyzI0U2pTMzJT////1Hf1EdtExQMHnXMeNS5VMFQwUjBWMGEC0340HojIDZUMAAp@P8fAA	https://docs.dyalog.com/20.0/language-reference-guide/primitive-functions/greater-than-or-equal-to/
0∘>N	Strictly negative?	Tacit	Monadic Function		Mathematical	testif	https://tio.run/##SyzI0U2pTMzJT////1Hf1EdtExQMHnXMsFMwVDBSMFYw4UIRPLTeCIgNFQxA0v//AwA	https://docs.dyalog.com/20.0/language-reference-guide/primitive-functions/greater-than/
0∘≠N	Non-zero?	Tacit	Monadic Function		Mathematical	testif nonzero?	https://tio.run/##SyzI0U2pTMzJT////1Hf1EdtExQMHnXMeNS5QMFQwUjBWMGEC0340HojIDZUMAAp@P8fAA	https://docs.dyalog.com/20.0/language-reference-guide/primitive-functions/not-equal-to/
1∘↓Y	Behead: Remove first major cell	Tacit	Monadic Function		Selection	drop chop leading element item 1st delete start beginning without removing erasing erase eliminate eliminating deleting tail body	https://tio.run/##SyzI0U2pTMzJT/@vnpJZXKD@qG@qc6R6Slpesfp/IPtR2wQFEDB81DHjUdtkBUMFIwVjBRMuiBRIB1xKw9RAwcJAU0HD0EDBCEQbGyuYmWlyYTHFWMH4Ue@WR72bLf//BwA	https://docs.dyalog.com/20.0/language-reference-guide/primitive-functions/drop/
¯1∘↓Y	Curtail: Remove last major cell	Tacit	Monadic Function		Selection	drop chop trailing element item delete ending without removing erasing erase eliminate eliminating deleting	https://tio.run/##SyzI0U2pTMzJT/@vnpJZXKD@qG@qc6R6Slpesfp/IPtR2wQFEDi03vBRx4xHbZMVDBWMFIwVTLggkiA9SJIapgYKFgaaChqGBgpGINrYWMHMTJMLq0nGCsaPerc86t1s@f8/AA	https://docs.dyalog.com/20.0/language-reference-guide/primitive-functions/drop/
⍬∘⍴Y	First element of Y as a scalar	Tacit	Monadic Function		Selection	1st cell item	https://tio.run/##SyzI0U2pTMzJT/@vnpJZXKD@qG@qc6R6Slpesfp/IPtR2wQFEHjUu@ZRx4xHvVsUDBWMFIwVTLggkiA9SJIapgYKFgaaChqGBgpGINrYWMHMTJMLq0nGCsZA6lHvZsv//wE	https://docs.dyalog.com/20.0/language-reference-guide/primitive-functions/reshape/
10∘*N	Common anti-logarithm	Tacit	Monadic Function		Mathematical	log⁻¹() log^1() lg⁻¹() lg10^1() log10⁻¹() log10^1() lg10⁻¹() lg10^1() log₁₀⁻¹() log₁₀^1() lg₁₀⁻¹() lg₁₀^1() antilogarithm	https://tio.run/##SyzI0U2pTMzJT////1Hf1EdtExQMDR51zNBSMFQwUjBWMOFCFT203hCIjYDYGIjRZQ31jI2AhKkJkDA3BRKWlv//AwA	https://docs.dyalog.com/20.0/language-reference-guide/primitive-functions/power/
10∘⍟N	Common logarithm	Tacit	Monadic Function		Mathematical	log() log-10 log10() 10-log₁₀() lg() lg-10 lg10() 10-lg₁₀()	https://tio.run/##SyzI0U2pTMzJT////1Hf1EdtExQMDR51zHjUO1/BEMgEIjCGEEAy1RSIzbgw1BobKRiampiaKBiamxoAdVqCwP//AA	https://docs.dyalog.com/20.0/language-reference-guide/primitive-functions/logarithm/
0∘○N	cos ↔ sin: (1-N*2)*.5 (more precise cos arcsin N or sin arccos N)	Tacit	Monadic Function		Circular/Trigonometric	0○ pythagorean complementary cop()		https://docs.dyalog.com/20.0/language-reference-guide/primitive-functions/circular-functions/
0∘○N	Triangle side as function of side (hypotenuse≤1)	Tacit	Dyadic Function		Circular/Trigonometric	0○ Pythagorean trigonometry		https://docs.dyalog.com/20.0/language-reference-guide/primitive-functions/circular-functions/
1∘○N	Sine N	Tacit	Monadic Function		Circular/Trigonometric	1○ sin() sinus		https://docs.dyalog.com/20.0/language-reference-guide/primitive-functions/circular-functions/
10∘○N	Magnitude of N	Tacit	Monadic Function		Circular/Trigonometric	10○ abs() modulo modulus amplitude		https://docs.dyalog.com/20.0/language-reference-guide/primitive-functions/circular-functions/
11∘○N	Imaginary part of N	Tacit	Monadic Function		Circular/Trigonometric	11○ im()		https://docs.dyalog.com/20.0/language-reference-guide/primitive-functions/circular-functions/
12∘○N	Phase of N	Tacit	Monadic Function		Circular/Trigonometric	12○ argument arc() angle ∠ atan2		https://docs.dyalog.com/20.0/language-reference-guide/primitive-functions/circular-functions/
2∘○N	Cosine N	Tacit	Monadic Function		Circular/Trigonometric	2○ cos() cosinus		https://docs.dyalog.com/20.0/language-reference-guide/primitive-functions/circular-functions/
3∘○N	Tangent N	Tacit	Monadic Function		Circular/Trigonometric	3○ tan() tangens		https://docs.dyalog.com/20.0/language-reference-guide/primitive-functions/circular-functions/
4∘○N	sinh → cosh: (1+N*2)*.5 (more precise cosh arsinh N or sec arctan N)	Tacit	Monadic Function		Circular/Trigonometric	4○ pythagorean complementary coh()		https://docs.dyalog.com/20.0/language-reference-guide/primitive-functions/circular-functions/
4∘○N	Triangle hypotenuse as function of side ratio	Tacit	Dyadic Function		Circular/Trigonometric	4○ Pythagorean trigonometry		https://docs.dyalog.com/20.0/language-reference-guide/primitive-functions/circular-functions/
5∘○N	Hyperbolic sine N	Tacit	Monadic Function		Circular/Trigonometric	5○ sinh() sinushyperbolicus		https://docs.dyalog.com/20.0/language-reference-guide/primitive-functions/circular-functions/
6∘○N	Hyperbolic cosine N	Tacit	Monadic Function		Circular/Trigonometric	6○ cosh() cosinushyperbolicus		https://docs.dyalog.com/20.0/language-reference-guide/primitive-functions/circular-functions/
7∘○N	Hyperbolic tangent N	Tacit	Monadic Function		Circular/Trigonometric	7○ tanh() tangenshyperbolicus		https://docs.dyalog.com/20.0/language-reference-guide/primitive-functions/circular-functions/
8∘○N	icos ↔ isin: (-1+N*2)*.5	Tacit	Monadic Function		Circular/Trigonometric	8○ pythagorean complementary conh()		https://docs.dyalog.com/20.0/language-reference-guide/primitive-functions/circular-functions/
9∘○N	Real part of N	Tacit	Monadic Function		Circular/Trigonometric	9○ re()		https://docs.dyalog.com/20.0/language-reference-guide/primitive-functions/circular-functions/
¯1∘○N	Arcsine N	Tacit	Monadic Function		Circular/Trigonometric	¯1○ inverse arsin() asin() arcussinus sin⁻¹() sin^-1()		https://docs.dyalog.com/20.0/language-reference-guide/primitive-functions/circular-functions/
¯10∘○N	+N (complex conjugate)	Tacit	Monadic Function		Circular/Trigonometric	¯10○ complexconjugate		https://docs.dyalog.com/20.0/language-reference-guide/primitive-functions/circular-functions/
¯11∘○N	N×0J1	Tacit	Monadic Function		Circular/Trigonometric	¯11○ imaginary complex itimes i× 𝑖×		https://docs.dyalog.com/20.0/language-reference-guide/primitive-functions/circular-functions/
¯12∘○N	*N×0J1	Tacit	Monadic Function		Circular/Trigonometric	¯12○ antiphase phasor cis()		https://docs.dyalog.com/20.0/language-reference-guide/primitive-functions/circular-functions/
¯2∘○N	Arccosine N	Tacit	Monadic Function		Circular/Trigonometric	¯2○ inverse arccos() acos() arcuscosinus cos⁻¹() cos^-1()		https://docs.dyalog.com/20.0/language-reference-guide/primitive-functions/circular-functions/
¯3∘○N	Arctangent N	Tacit	Monadic Function		Circular/Trigonometric	¯3○ inverse arctan() atan() arcustangens tan⁻¹() tan^-1()		https://docs.dyalog.com/20.0/language-reference-guide/primitive-functions/circular-functions/
¯4∘○N	cosh → sinh: (N+1)×((N-1)÷N+1)*.5 (more precise sinh arcosh N or tan arcsec N)	Tacit	Monadic Function		Circular/Trigonometric	¯4○ pythagorean complementary cohn()		https://docs.dyalog.com/20.0/language-reference-guide/primitive-functions/circular-functions/
¯4∘○N	Triangle side (≥1) as function of hypotenuse	Tacit	Dyadic Function		Circular/Trigonometric	¯4○ Pythagorean trigonometry		https://docs.dyalog.com/20.0/language-reference-guide/primitive-functions/circular-functions/
¯5∘○N	Hyperbolic arsin N	Tacit	Monadic Function		Circular/Trigonometric	¯5○ inverse arcsine asinh() arcsinh() arcussinushyperbolicus arsinh() area sinh⁻¹() sinh^-1()		https://docs.dyalog.com/20.0/language-reference-guide/primitive-functions/circular-functions/
¯6∘○N	Hyperbolic arcos N	Tacit	Monadic Function		Circular/Trigonometric	¯6○ inverse arccosine acosh() arccosh() arcuscosinushyperbolicus arcosh() area cosh⁻¹() cosh^-1()		https://docs.dyalog.com/20.0/language-reference-guide/primitive-functions/circular-functions/
¯7∘○N	Hyperbolic artan N	Tacit	Monadic Function		Circular/Trigonometric	¯7○ inverse arctangent atanh() arctanh() arcustangenshyperbolicus artanh() area tanh⁻¹() tanh^-1()		https://docs.dyalog.com/20.0/language-reference-guide/primitive-functions/circular-functions/
¯8∘○N	icos ↔ -isin: -(-1+N*2)*.5	Tacit	Monadic Function		Circular/Trigonometric	¯8○ pythagorean complementary nconh()		https://docs.dyalog.com/20.0/language-reference-guide/primitive-functions/circular-functions/
¯9∘○N	N (identity)	Tacit	Monadic Function		Circular/Trigonometric	¯9○ identity		https://docs.dyalog.com/20.0/language-reference-guide/primitive-functions/circular-functions/
f∘g⍨Y	Hook (S-combinator): apply f between Y and (g Y), that is Y f g Y	Tacit	Monadic Function		Composition	Starling hook ⟜		
X f⍛g∘h Y	Split-Compose (D₂-combinator): apply g between (f X) and (h Y), that is (f X) g (h Y)	Tacit	Dyadic Function		Composition	composewith splitover (fX)g(hY) (fX)ghY dovekies D2-combinator		
⊢/Y	Fast: The last sub-array along the last axis of Y	Tacit	Monadic Function	Performance	Selection	speed optimised optimized quick rightmostcolumn subarray dimension idiom	https://tio.run/##SyzI0U2pTMzJT////1Hf1EdtExQedS3SVzBUMFIwVjBRMOWCiKqrQxkKQGCsYPyod8uj3s2WGLJgzQj5//8B	
⊣/Y	Fast: The first sub-array along the last axis of Y	Tacit	Monadic Function	Performance	Selection	speed optimised optimized quick leftmostcolumn subarray dimension 1st idiom	https://tio.run/##SyzI0U2pTMzJT////1Hf1EdtExQedS3WVzBUMFIwVjBRMOWCiKqrQxkKQGCsYPyod8uj3s2WGLJgzQj5//8B	
+/N	Sum of N (row-wise)	Tacit	Monadic Function		Mathematical	summation enlargedsigma bigsigma capitalsigma ∑ Σ sum() horizontally rowwise	https://tio.run/##SyzI0U2pTMzJT////1Hf1EdtExS09RUMFYwUjBVMFEy5IGLq6lCGAhAYKxg/6t3yqHezJYYsUCtC9v9/AA	
Is+/N	Running sum of Is consecutive elements of N	Tacit	Dyadic Function		Mathematical	windowedsum cells items	https://tio.run/##SyzI0U2pTMzJT////1Hf1EdtExSMFLT1gYSRgjGI5IKIqqtDGQpgYKpg@qh3y6PezZYY8sYg7Qj5//8B	
-/N	Row-wise alternating sum: ((N[1]-N[2])+N[3])-N[4]+…	Tacit	Monadic Function		Mathematical	alternatingsum series horizontally rowwise	https://tio.run/##SyzI0U2pTMzJT////1Hf1EdtExR09RVMFQwNFAxNFYwMFIxMFYwN/v8HAA	
×/N	Product of N (row-wise)	Tacit	Monadic Function		Mathematical	enlargedpi bigpi capitalpi ∏ Π horizontally rowwise	https://tio.run/##SyzI0U2pTMzJT////1Hf1EdtExQOT9dXMFQwUjBWMFEw5YIIqqtDGQpAYKpg@qh3y6PezUaY0iDNSPL//wMA	
×/Nv	Area of rectangle with sides Nv	Tacit	Monadic Function		Mathematical	edge lengths	https://tio.run/##SyzI0U2pTMzJT////1Hf1EdtExQOT9dXMFUwNPj/HwA	
×/Nv	Volume of box with sides Nv	Tacit	Monadic Function		Mathematical	block edge lengths	https://tio.run/##SyzI0U2pTMzJT////1Hf1EdtExQOT9dXMDQAIaP//wE	
∨/B	Are any true? (row-wise)	Tacit	Monadic Function		Boolean/Logical	anyone? forany thereexists ∃ horizontally rowwise testif forany?	https://tio.run/##SyzI0U2pTMzJT////1Hf1EdtExQedazQVzCAQS5MUUMsMoYg@P8/AA	
∧/Bv	Are all true?	Tacit	Monadic Function		Boolean/Logical	forall? ∀ binary base-2 base2 testif	https://tio.run/##SyzI0U2pTMzJT////1Hf1EdtExQedSzXVzCAQS5MUUMsMoYg@P8/AA	
⌈/N	Maximum of N	Tacit	Monadic Function		Mathematical	most supremum biggest largest highest	https://tio.run/##SyzI0U2pTMzJT////1Hf1EdtExQe9XToK5haKBiaKhgZKVgYKBiZKRgaciHLGoChIYSGyQCBsYLxo94tCkZAKWMFMwVTBRMFcwVLBQuoEnV1FFNwqf7/HwA	
⌊/N	Minimum of N	Tacit	Monadic Function		Mathematical	least infimum smallest lowest	https://tio.run/##SyzI0U2pTMzJT////1Hf1EdtExQe9XTpK5haKBiaKhgZKVgYKBiZKRgaciHLGoChIYSGyQCBsYLxo94tCkZAKWMFMwVTBRMFcwVLBQuoEnV1FFNwqf7/HwA	
÷/N	Alternating product of N	Tacit	Monadic Function		Mathematical		https://tio.run/##SyzI0U2pTMzJT////1Hf1EdtExQOb9dXMFQw4kLlKhhjCCiYYBFSMP3/HwA	
≠/B	Boolean Parity (even number of 1s in vectors)	Tacit	Monadic Function		Boolean/Logical	even or odd count ones	https://tio.run/##SyzI0U2pTMzJT////1Hf1EdtExQedS7QN@RC5iigc9EFDIAQRBr@/w8A	
1∘/Y	Ensure minimum rank 1 (reshaping scalar into one-element vector)	Tacit	Monadic Function		Structural	unscalarise unscalarize 1-element 1element minimumrank1 makenonscalarise nonscalarize list ravel-if-scalar normalise normalize normalisation normalization	https://tio.run/##SyzI0U2pTMzJT////1Hf1EdtExQe9W5RAAEjcy4kEcNHHTP00cQgqhSMDRSMTbGphcj8/w8A	https://docs.dyalog.com/20.0/language-reference-guide/primitive-functions/replicate/
⊢⌿Y	Fast: The last sub-array along the first axis of Y	Tacit	Monadic Function	Performance	Selection	speed optimised optimized quick bottommostrow subarray dimension idiom major cell row	https://tio.run/##SyzI0U2pTMzJT////1Hf1EdtExSAwFjB@FHvlke9my25IILq6lCGwqOuRY969iOp@P8fAA	
⊣⌿Y	Fast: The first sub-array along the first axis of Y	Tacit	Monadic Function	Performance	Selection	speed optimised optimized quick topmostrow subarray dimension 1st idiom major cell row	https://tio.run/##SyzI0U2pTMzJT////1Hf1EdtExSAwFjB@FHvlke9my25IILq6lCGwqOuxY969iOp@P8fAA	
+⌿N	Sum of N (column-wise)	Tacit	Monadic Function		Mathematical	summation enlargedsigma bigsigma capitalsigma ∑ Σ vertically columnwise	https://tio.run/##SyzI0U2pTMzJT////1Hf1EdtExSAwFjB@FHvFkMFIwVjLoioujqUoaD9qGc/soL//wE	
-⌿N	Column-wise alternating sum: ((N[1]-N[2])+N[3])-N[4]+…	Tacit	Monadic Function		Mathematical	alternatingsum series vertically columnwise	https://tio.run/##SyzI0U2pTMzJT////1Hf1EdtExSAwFTB@FHvFuPD0x/1bjblgoirq0MZCrqPevajKvn/HwA	
×⌿N	Product of N (column-wise)	Tacit	Monadic Function		Mathematical	enlargedpi bigpi capitalpi ∏ Π vertically columnwise	https://tio.run/##SyzI0U2pTMzJT////1Hf1EdtExSAwETB@FHvlke9mw2NuCCi6upQhsLh6Y969iOr@P8fAA	
0∘⌿Y	Empty array along first axis	Tacit	Monadic Function		Structural	dimension 1st	https://tio.run/##SyzI0U2pTMzJT////1Hf1EdtExQe9W5RAAETBWMg81HvZkMjLoiUujoXkhqDRx0zHvXsR1b3/z8A	https://docs.dyalog.com/20.0/language-reference-guide/primitive-functions/replicate/
X f⍤⊢Y	Ignore left argument (call f monadically on Y)	Tacit	Dyadic Function		Function Application	to from dummy onrightargument		https://docs.dyalog.com/20.0/language-reference-guide/primitive-operators/atop/
X f⍤⊣Y	Ignore right argument (call f monadically on X)	Tacit	Dyadic Function		Function Application	to from dummy onleftargument		https://docs.dyalog.com/20.0/language-reference-guide/primitive-operators/atop/
1∘,Y	Preface a column of 1s	Tacit	Monadic Function		Structural	ones trues truths	https://tio.run/##SyzI0U2pTMzJT////1Hf1EdtExQMH3XM0FEwVTBTMFew4IIIqqtzocgaKxg/6t3yqHez5f//AA	https://docs.dyalog.com/20.0/language-reference-guide/primitive-functions/catenate-laminate/
,¨Y	Ensure that all elements are vectors	Tacit	Monadic Function		Structural	items elements cells lists uniformity make force to be	https://tio.run/##SyzI0U2pTMzJT/@vnpJZXKD@qG@qc6R6Slpesfp/IPtR2wQFkLgCEDzq3WzKhSymc2gFWPD/fwA	
X,¨Y	Join corresponding items	Tacit	Monadic Function		Structural	juxtapose tuples cells elements zip pair zip() zipwith() zip-with zipwith	https://tio.run/##SyzI0U2pTMzJT/@vnpJZXKD@qG@qc6R6Slpesfp/IPtR2wQFkLiCgqmCmYK5gs6hFQqGBgqGhgqGRly45E3//wcA	
,/Yv	Fast: The enclose of the items of Yv (which must be of depth 2) catenated along their last axes	Tacit	Monadic Function	Performance	Structural	speed optimised optimized quick combine merge joinhorizontally cells elements dimensions idiom	https://tio.run/##SyzI0U2pTMzJT/@vnpJZXKD@qG@qc6R6Slpesfp/IPtR2wQFkLgCEGhYKhgaaCpoGBkomBgomIGYJgqmmlzIynT0cSrjQjfOWMH4Ue@WR72bLTVROBgG4lKo8P8/AA	
Is,/Yv	All possible subvectors of length Is (Yv must be simple)	Tacit	Dyadic Function		Selection	sub-string substring sub-sequence subsequence sub-vectors segmented sub-lists partitioned sublists separated separator delimiter	https://tio.run/##SyzI0U2pTMzJT/@vnpJZXKD@qG@qc6R6Slpesfp/IPtR2wQFkLgCGBgpmCiYKVgoGBooGBpxIUsb6ejjkzbBkP7/HwA	
1∘⍪Y	Preface a row of 1s	Tacit	Monadic Function		Structural	ones trues truths	https://tio.run/##SyzI0U2pTMzJT////1Hf1EdtExQMH3XMeNS7SsFIwfhR7xaL//8B	https://docs.dyalog.com/20.0/language-reference-guide/primitive-functions/catenate-laminate/
⍪/Yv	Fast: The enclose of the items of Yv (which must be of depth 2) catenated along their first axes	Tacit	Monadic Function	Performance	Structural	speed optimised optimized quick combine merge stack joinvertically major cells rows elements dimensions 1st idiom	https://tio.run/##SyzI0U2pTMzJT/@vnpJZXKD@qG@qc6R6Slpesfp/IPtR2wQFkLgCEGhYKhgaaCpoGBkomBgomIGYJgqmmlzIyh71rtLHqZAL3UBjBeNHvVse9W621EThYDESl1KF//8B	
1 1∘⊂Y	First element (as vector) and remaining elements	Tacit	Dyadic Function		Structural	headtail split divide separate dividing leading		
1∘⌷Y	Head: First major cell of Y	Tacit	Monadic Function		Selection	Y[1;] X[1;] Y[1] X[1] leading element item 1st start beginning		https://docs.dyalog.com/20.0/language-reference-guide/primitive-functions/index-function/index-with-axes/
⍳⍨Nv	Assign ranking based on non-descending scores Nv (ties all get highest ranking of used slots)	Tacit	Monadic Function		Mathematical	places place-values positions shared allotted allocation allocate ranks	https://tio.run/##SyzI0U2pTMzJT////1Hf1EdtExQe9W5@1LtCwRgMTRUsgNDI8P9/AA	
0∘∊B	Not all true?	Tacit	Monadic Function		Boolean/Logical	notall somenot all?	https://tio.run/##SyzI0U2pTMzJT////1Hf1EdtExQMHnXMeNTRpWAIgVxYhA0UDP//BwA	https://docs.dyalog.com/20.0/language-reference-guide/primitive-functions/membership/
1∘∊B	Any true?	Tacit	Monadic Function		Boolean/Logical	thereexists forsome existentialquantification ∃ any?	https://tio.run/##SyzI0U2pTMzJT////1Hf1EdtExQMH3XMeNTRpWAAgVwYwoZAaPD/PwA	https://docs.dyalog.com/20.0/language-reference-guide/primitive-functions/membership/
⍸⍨Nv	Assign ranking based on non-descending scores Nv (ties all get lowest ranking of used slots)	Tacit	Monadic Function		Mathematical	places place-values positions shared allotted allocation allocate ranks	https://tio.run/##SyzI0U2pTMzJT////1Hf1EdtExQe9e541LtCwRgMTRUsgNDI8P9/AA	
X f⍣≡Y	Limit: apply X∘f until stable	Tacit	Monadic Function	Monadic Operator	Function Application	limes lim() convergence fixedpoint fixed-point		
f⍣≡Y	Limit: apply f until stable	Tacit	Monadic Function	Monadic Operator	Function Application	limes lim() convergence fixedpoint fixed-point		
+\N	Cumulative sum	Tacit	Monadic Function		Mathematical	runningtotal	https://tio.run/##SyzI0U2pTMzJT////1Hf1EdtExS0YxQMYZALIWakYKJgpmChYGjw/z8A	
∨\B	Turn on all 0s after first 1 (indicate all elements except leading 0s)	Tacit	Monadic Function		Boolean/Logical	unsetting indicating flipping turning change changing inverting negating bitmask bit-mask zeros zeroes trues truths ones falses falsehoods 1st start beginning mask not	https://tio.run/##SyzI0U2pTMzJT////1Hf1EdtExQedayIUTAAQkMoCYT//wMA	
∧\B	Turn off all 1s after first 0 (indicate all elements until the first 0)	Tacit	Monadic Function		Boolean/Logical	unsetting indicating flipping turning change changing inverting negating bitmask bit-mask ones zero false trues truths falsehood 1st mask	https://tio.run/##SyzI0U2pTMzJT////1Hf1EdtExQedSyPUTAEQgMgBNGG//8DAA	
⌈\N	Progressive maxima (row-wise)	Tacit	Monadic Function		Mathematical	running cumulative scan rowwise horizontally	https://tio.run/##SyzI0U2pTMzJT////1Hf1EdtExQe9XTEKBgZKBgaKpiYKxgpmCoYGxgoWFr@/w8A	
⌊\N	Progressive minima (row-wise)	Tacit	Monadic Function		Mathematical	running cumulative scan rowwise horizontally	https://tio.run/##SyzI0U2pTMzJT////1Hf1EdtExQe9XTFKBgZKBgaKpiYKxgpmCoYGxgoWFr@/w8A	
<\B	Turn off all 1s after first 1 (indicate only the first 1)	Tacit	Monadic Function		Boolean/Logical	unsetting keeping indicating flipping turning change changing inverting negating bitmask bit-mask zeros zeroes falses ones trues truths falsehoods 1st mask	https://tio.run/##SyzI0U2pTMzJT////1Hf1EdtExRsYhQMFAxh@P9/AA	
≤\B	Turn on all 0s after first 0 (indicate all elements except the first 0)	Tacit	Monadic Function		Boolean/Logical	unsetting keeping indicating flipping turning change changing inverting negating bitmask bit-mask zeros zeroes falsehoods 1st mask not	https://tio.run/##SyzI0U2pTMzJT////1Hf1EdtExQedS6JUTBUMIDh//8B	
≠\B	Convert reflected Gray code to binary	Tacit	Monadic Function		Boolean/Logical	flip change changing inverting negating bitmask bit-mask base-2 base2 mask Conversion converting change changing		
≠\B	Parity: Connect odd and even ones	Tacit	Monadic Function		Mathematical	flip change changing inverting negating bitmask bit-mask 1s running trues truths mask		
⌈⍀N	Progressive maxima (column-wise)	Tacit	Monadic Function		Mathematical	running cumulative scan columnwise vertically	https://tio.run/##SyzI0U2pTMzJT///Pzk/51HbhEe9q4wMFAwNFUzMFYwUTBWMDQwULC25HvVNBUoqANXoKDzq6XjU2wBi//8PAA	
⌊⍀N	Progressive minima (column-wise)	Tacit	Monadic Function		Mathematical	running cumulative scan columnwise vertically	https://tio.run/##SyzI0U2pTMzJT///Pzk/51HbhEe9q4wMFAwNFUzMFYwUTBWMDQwULC25HvVNBUoqANXoKDzq6XrU2wBi//8PAA	
1 1∘⍉Ym	Main diagonal of matrix	Tacit	Monadic Function		Selection	table	https://tio.run/##SyzI0U2pTMzJT////1Hf1EdtExTAwFjB@FHvlke9my25IMLq6lCGoYLho44Zj3o7kdT8/w8A	https://docs.dyalog.com/20.0/language-reference-guide/primitive-functions/dyadic-transpose/
⊥⍨Bv	Count of trailing ones	Tacit	Monadic Function		Boolean/Logical	1s trues truths at end	https://tio.run/##SyzI0U2pTMzJT////1Hf1EdtEx51LX3Uu0LBUMEAioHw/38A	
0∘⊥N	Last major cell of numeric array	Tacit	Monadic Function		Selection	item element	https://tio.run/##SyzI0U2pTMzJT////1Hf1EdtExQMHnXMeNS1VOFR72ZLLjQxYwXjR71bQDL//wMA	
100∘⊥Jv	Joining date YYYY M D to packed YYYYMMDD integer	Tacit	Monadic Function		Mathematical	format	https://tio.run/##SyzI0U2pTMzJT////1Hf1EdtExQMDQwedcx41LVUwdDSzFLBXMHI8P9/AA	https://docs.dyalog.com/20.0/language-reference-guide/primitive-functions/decode/
2∘⊥Bv	Integer representation of logical vector Bv	Tacit	Monadic Function		Boolean/Logical	list	https://tio.run/##SyzI0U2pTMzJT////1Hf1EdtExSMHnXMeNS1VMEACA25MAQNFQywCWKoNAQZ8P8/AA	https://docs.dyalog.com/20.0/language-reference-guide/primitive-functions/decode/
0 1∘⊤N	Integral and fractional part of positive number	Tacit	Monadic Function		Mathematical	parts split whole integer decimals parts split	https://tio.run/##SyzI0U2pTMzJT////1Hf1EdtExQMFAwfdcx41LVEwULP3PT/fwA	https://docs.dyalog.com/20.0/language-reference-guide/primitive-functions/encode/
0 100 100∘⊤Js	Separating packed YYYYMMDD date integer date	Tacit	Monadic Function		Mathematical	format split unpacked	https://tio.run/##SyzI0U2pTMzJT////1Hf1EdtExQMFAwNwPhRx4xHXUsUDC3NLA3MjQz//wcA	https://docs.dyalog.com/20.0/language-reference-guide/primitive-functions/encode/
20 ¯1∘⎕DT J	Convert UNIX times to ⎕TS-style timestamps	Tacit	Monadic Function		Data Conversion	UnixTime PosixTime UnixEpochTime 1970		
C f⍥⎕C D	Caseless operation	Tacit	Dyadic Function	Monadic Operator	Text	lettercase caseinsensitively comparison lookup apply caselessly  ignorecase string		
{0}Y	Fast: 0 irrespective of Y	Tacit	Monadic Function	Performance	Boolean/Logical	speed optimised optimized quick zero naught idiom	https://tio.run/##SyzI0U2pTMzJT////1Hf1EdtExSqDWoVNEwUTBXMNBXUHZ2c1f//BwA	
+∘-N	Negate real part (“real conjugate”)	Tacit	Monadic Function		Mathematical		https://tio.run/##SyzI0U2pTMzJT////1Hf1EdtExS0H3XM0FU4tN7cy/j/fwA	
-∘+N	Mirror complex N across y-axis	Tacit	Monadic Function		Circular/Trigonometric	negatereal mirroring reflecting reflection	https://tio.run/##SyzI0U2pTMzJT////1Hf1EdtExR0H3XM0FY4tN7cy/j/fwA	
⌽∘⊖Ym	Rotate 180°	Tacit	Monadic Function		Structural	turning rotating rotation half-turn halfturn	https://tio.run/##SyzI0U2pTMzJT////1Hf1EdtExQgwFjB@FHvlke9my25IOLq6lwwBY969j7qmPGoaxqysv//AQ	
M×∘÷N	Division: force DOMAIN ERROR for division by 0	Tacit	Dyadic Function		Mathematical			
As-⍛↓Y	Conditional drop of last element of Y	Tacit	Dyadic Function		Structural	trailing cell item delete remove ending without removing erasing erase eliminate eliminating deleting		
Is-⍛↑Yv	Padding Yv on the left to width Is	Tacit	Dyadic Function		Structural	extend left-align leftalign text string		
Xm≢⍛↑Ym	Vertically lengthening matrix Ym to be compatible (for ,) with Xm	Tacit	Monadic Function		Structural	extend compatibility sameheight adjust column-wise columnwise table		
X⍴⍛⍴Y	Array with shape of X and content of Y	Tacit	Dyadic Function		Structural	reshape mould mold form fill		
Iv⊢⍤/Y	Replicate along last axis of Y (forces / to be a function even with a function on its left)	Tacit	Dyadic Function		Selection	treated treating interpreting interpreted as forcing coerce coercing functionify functionize schizophrenic overloaded make into being functionise train tacit fork atop compressing slash solidus copying repeatingeachcolumns dimension horizontally replicating rowwise row-wise across	https://tio.run/##SyzI0U2pTMzJT////1Hf1EdtExSMFQwVDq03UjBS0FcwUzBXsFCw/P8fAA	https://docs.dyalog.com/20.0/language-reference-guide/primitive-functions/replicate/
Av⊢⍤/Y	Filtering columns of Y according to mask Av (forces / to be a function even with a function on its left)	Tacit	Dyadic Function		Selection	treated treating interpreting interpreted as forcing coerce coercing functionify functionize schizophrenic overloaded make into being functionise train tacit fork atop compressing slash solidus selecting cells items horizontally across bitmask bit-mask	https://tio.run/##SyzI0U2pTMzJT////1Hf1EdtExQMFQygWF9B3SM1sahE/f9/AA	https://docs.dyalog.com/20.0/language-reference-guide/primitive-functions/replicate/
