TYPE	AUTHOR(S)	TITLE	ABSTRACT	YEAR	KEYWORDS
(T)	[Hui](https://aplwiki.com/wiki/Roger_Hui)	[The N Queens Problem](https://www.jsoftware.com/papers/nqueens.htm)	[APL Quote Quad](https://aplwiki.com/wiki/APL_Quote_Quad), Volume 11, Number 3	1981	
(T)	Orth	[A Comparison of the IPSA and STSC Implementations of Operators and General Arrays](https://www.jsoftware.com/papers/IPSA_STSC.htm)	[APL Quote Quad](https://aplwiki.com/wiki/APL_Quote_Quad), Volume 12, Number 2	1981	
(T)	[Iverson](https://aplwiki.com/wiki/Ken_Iverson), [Whitney](https://aplwiki.com/wiki/Arthur_Whitney)	[Practical Uses of a Model of APL](https://www.jsoftware.com/papers/APLModel.htm)	[APL82](https://aplwiki.com/wiki/APL_conference#1982), A[APL Quote Quad](https://aplwiki.com/wiki/APL_Quote_Quad), Volume 13, Number 1	1982	
(T)	Azzarello (editor)	[The Early Years](https://www.jsoftware.com/papers/QQ_Early_Years.htm)	[APL Quote Quad](https://aplwiki.com/wiki/APL_Quote_Quad), APL Press, Palo Alto	1982	
(T)	[Iverson](https://aplwiki.com/wiki/Ken_Iverson)	[APL Syntax and Semantics](https://www.jsoftware.com/papers/APLSyntaxSemantics.htm)	[APL83](https://aplwiki.com/wiki/APL_conference#1983), [APL Quote Quad](https://aplwiki.com/wiki/APL_Quote_Quad), Volume 13, Number 3	1983	
(T)	[Iverson](https://aplwiki.com/wiki/Ken_Iverson)	[Rationalized APL](https://www.jsoftware.com/papers/RationalizedAPL.htm)	[I.P. Sharp Associates](https://aplwiki.com/wiki/I.P._Sharp_Associates)	1983	
(T)	[Iverson](https://aplwiki.com/wiki/Ken_Iverson)	[Letter to J.K. Tuttle](https://www.jsoftware.com/papers/JKTletter.htm)		1983	
(T)	[Iverson](https://aplwiki.com/wiki/Ken_Iverson), Pesch, Schueler	[An Operator Calculus](https://www.jsoftware.com/papers/APLOperatorCalculus.htm)	[APL84](https://aplwiki.com/wiki/APL_conference#1984), [APL Quote Quad](https://aplwiki.com/wiki/APL_Quote_Quad), Volume 14, Number 4	1984	
(T)	Pesch	[Empty Frames in SHARP APL](https://www.jsoftware.com/papers/EmptyFrames.htm)	[APL86](https://aplwiki.com/wiki/APL_conference#1986), [APL Quote Quad](https://aplwiki.com/wiki/APL_Quote_Quad), Volume 16, Number 4	1986	
(T)	[Hui](https://aplwiki.com/wiki/Roger_Hui)	[Some Uses of { and }](https://www.jsoftware.com/papers/from.htm)	[APL87](https://aplwiki.com/wiki/APL_conference#1987), [APL Quote Quad](https://aplwiki.com/wiki/APL_Quote_Quad), Volume 17, Number 4	1987	
(T)	[Iverson](https://aplwiki.com/wiki/Ken_Iverson)	[APL87](https://www.jsoftware.com/papers/APL87.htm)	[APL87](https://aplwiki.com/wiki/APL_conference#1987), [APL Quote Quad](https://aplwiki.com/wiki/APL_Quote_Quad), Volume 17, Number 4	1987	
(T)	[Iverson](https://aplwiki.com/wiki/Ken_Iverson)	[A Dictionary of APL](https://www.jsoftware.com/papers/APLDictionary.htm)	[APL Quote Quad](https://aplwiki.com/wiki/APL_Quote_Quad), Volume 18, Number 1	1987	
(T)	[Iverson](https://aplwiki.com/wiki/Ken_Iverson)	[A Commentary on APL Development](https://www.jsoftware.com/papers/commentary.htm)	[APL Quote Quad](https://aplwiki.com/wiki/APL_Quote_Quad), Volume 19, Number 1	1988	
(T)	[Iverson](https://aplwiki.com/wiki/Ken_Iverson), [McDonnell](https://aplwiki.com/wiki/Eugene_McDonnell)	[Phrasal Forms](https://www.jsoftware.com/papers/fork.htm)	[APL89](https://aplwiki.com/wiki/APL_conference#1989), [APL Quote Quad](https://aplwiki.com/wiki/APL_Quote_Quad), Volume 19, Number 4	1989	
(T)	[Hui](https://aplwiki.com/wiki/Roger_Hui), [Iverson](https://aplwiki.com/wiki/Ken_Iverson), [McDonnell](https://aplwiki.com/wiki/Eugene_McDonnell), [Whitney](https://aplwiki.com/wiki/Arthur_Whitney)	[APL\?](https://www.jsoftware.com/papers/J1990.htm)	[APL90](https://aplwiki.com/wiki/APL_conference#1990), [APL Quote Quad](https://aplwiki.com/wiki/APL_Quote_Quad), Volume 20, Number 4	1990	
(T)	[Hui](https://aplwiki.com/wiki/Roger_Hui), [Iverson](https://aplwiki.com/wiki/Ken_Iverson), [McDonnell](https://aplwiki.com/wiki/Eugene_McDonnell)	[Tacit Definition](https://www.jsoftware.com/papers/TacitDefn.htm)	[APL91](https://aplwiki.com/wiki/APL_conference#1991), [APL Quote Quad](https://aplwiki.com/wiki/APL_Quote_Quad), Volume 21, Number 4	1991	
(V)	[Hui](https://aplwiki.com/wiki/Roger_Hui)	[Performance Improvements in Dyalog: A Case Study](https://dyalog.tv/Dyalog08/?v=k8Wt5sDDzgI)	[Dyalog '08](https://aplwiki.com/wiki/Dyalog_user_meeting#Dyalog_.2708)	2008	
(V)	[Hui](https://aplwiki.com/wiki/Roger_Hui)	[The Rank Operator](https://dyalog.tv/Dyalog09/?v=ui76NE5cMWo)	[Dyalog '09](https://aplwiki.com/wiki/Dyalog_user_meeting#Dyalog_.2709)	2009	
(V)	[Hui](https://aplwiki.com/wiki/Roger_Hui)	[Rational Numbers](https://dyalog.tv/Dyalog11/?v=CkaQQYcxpfM)	[Dyalog '11](https://aplwiki.com/wiki/Dyalog_user_meeting#Dyalog_.2711)	2011	
(V)	[Scholes](https://aplwiki.com/wiki/John_Scholes), [Hui](https://aplwiki.com/wiki/Roger_Hui)	[What is Functional Programming?](https://dyalog.tv/Dyalog11/?v=bQlH49krwbk)	[Dyalog '11](https://aplwiki.com/wiki/Dyalog_user_meeting#Dyalog_.2711)	2011	
(V)	[Scholes](https://aplwiki.com/wiki/John_Scholes), [Hui](https://aplwiki.com/wiki/Roger_Hui)	[Potential Version 14.0 Language Features](https://dyalog.tv/Dyalog12/?v=KrrHYjPXc84)	[Dyalog '12](https://aplwiki.com/wiki/Dyalog_user_meeting#Dyalog_.2712)	2012	
(V)	[Hui](https://aplwiki.com/wiki/Roger_Hui)	[Rank and Friends](https://dyalog.tv/Dyalog13/?v=J05FEbqDsZM)	[Dyalog '13](https://aplwiki.com/wiki/Dyalog_user_meeting#Dyalog_.2713)	2013	
(V)	[Kromberg](https://aplwiki.com/wiki/Morten_Kromberg), [Hui](https://aplwiki.com/wiki/Roger_Hui)	[Primitive Performance](https://dyalog.tv/Dyalog13/?v=84t87EO5ZEE)	[Dyalog '13](https://aplwiki.com/wiki/Dyalog_user_meeting#Dyalog_.2713)	2013	
(V)	[Hui](https://aplwiki.com/wiki/Roger_Hui), Kekäläinen	[The Tuning Pipeline](https://dyalog.tv/Dyalog14/?v=7GDya-E3pxI)	[Dyalog '14](https://aplwiki.com/wiki/Dyalog_user_meeting#Dyalog_.2714)	2014	
(V)	[Foad](https://aplwiki.com/wiki/Jay_Foad), [Hui](https://aplwiki.com/wiki/Roger_Hui)	[Core Performance](https://dyalog.tv/Dyalog15/?v=AJzY4DgUVws)	[Dyalog '15](https://aplwiki.com/wiki/Dyalog_user_meeting#Dyalog_.2715)	2015	
(V)	[Scholes](https://aplwiki.com/wiki/John_Scholes), [Hui](https://aplwiki.com/wiki/Roger_Hui)	[Future Operator Proposals: Cut, Under, Merge](https://dyalog.tv/Dyalog15/?v=9KOto3xXS3c)	[Dyalog '15](https://aplwiki.com/wiki/Dyalog_user_meeting#Dyalog_.2715)	2015	
(V)	[Scholes](https://aplwiki.com/wiki/John_Scholes), [Hui](https://aplwiki.com/wiki/Roger_Hui)	[New Primitive Functions and Operators](https://dyalog.tv/Dyalog16/?v=vms4_Fpqmv8)	[Dyalog '16](https://aplwiki.com/wiki/Dyalog_user_meeting#Dyalog_.2716)	2016	
(V)	[Hui](https://aplwiki.com/wiki/Roger_Hui), [Foad](https://aplwiki.com/wiki/Jay_Foad)	[Performance: The Neverending Story](https://dyalog.tv/Dyalog16/?v=2AeONlTj1aY)	[Dyalog '16](https://aplwiki.com/wiki/Dyalog_user_meeting#Dyalog_.2716)	2016	
(V)	[Hui](https://aplwiki.com/wiki/Roger_Hui)	[Index-Of on Multiple Floats](https://dyalog.tv/Dyalog17/?v=69ncBGN3YiI)	[Dyalog '17](https://aplwiki.com/wiki/Dyalog_user_meeting#Dyalog_.2717)	2017	
(V)	[Hui](https://aplwiki.com/wiki/Roger_Hui)	[Tolerant Unique](https://dyalog.tv/Dyalog17/?v=fPWky9IOG40)	[Dyalog '17](https://aplwiki.com/wiki/Dyalog_user_meeting#Dyalog_.2717)	2017	
(V)	[Hui](https://aplwiki.com/wiki/Roger_Hui)	[Inverted Tables](https://dyalog.tv/Dyalog18/?v=IOWDkqKbMwk)	[Dyalog '18](https://aplwiki.com/wiki/Dyalog_user_meeting#Dyalog_.2718)	2018	
(I)	Kruger	[Advent of Code 2017, Dyalog APL edition](https://nbviewer.jupyter.org/github/xpqz/AoCDyalog/blob/master/Advent%20of%20Code%202017%20Dyalog%20APL.ipynb)	A walk-through of solutions to the 2017 AoC contest	2020	
(D)	[Dyalog Ltd](https://aplwiki.com/wiki/Dyalog_Ltd.)	[Workspaces](https://help.dyalog.com/latest/#Language/Introduction/Workspaces.htm)	Introduction to the use of workspaces to hold one's code and data		
